-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 9:38:30 AM     9/13/2013 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 5
  Max.    Elevation: 5532
  Mean.   Elevation: 1672.51732121021
  Std.    Deviation: 1173.24884594969

                    Elevation          % Area Below Elevation         % Area Watershed

                    499                     15.45                     .04
                    500                     15.48                     .04
                    501                     15.52                     .04
                    502                     15.56                     .04
                    503                     15.6                      .04
                    504                     15.64                     .04
                    505                     15.68                     .04
                    506                     15.71                     .04
                    507                     15.75                     .04
                    508                     15.79                     .04
                    509                     15.83                     .04
                    510                     15.87                     .04
                    511                     15.91                     .04
                    512                     15.94                     .04
                    513                     15.98                     .04
                    514                     16.02                     .04
                    515                     16.06                     .04
                    516                     16.1                      .04
                    517                     16.14                     .04
                    518                     16.17                     .04
                    519                     16.21                     .04
                    520                     16.25                     .04
                    521                     16.29                     .04
                    522                     16.33                     .04
                    523                     16.37                     .04
                    524                     16.4                      .04
                    525                     16.44                     .04
                    526                     16.48                     .04
                    527                     16.52                     .04
                    528                     16.56                     .04
                    529                     16.6                      .04
                    530                     16.64                     .04
                    531                     16.68                     .04
                    532                     16.72                     .04
                    533                     16.76                     .04
                    534                     16.8                      .04
                    535                     16.84                     .04
                    536                     16.87                     .04
                    537                     16.91                     .04
                    538                     16.95                     .04
                    539                     16.99                     .04
                    540                     17.03                     .04
                    541                     17.07                     .04
                    542                     17.11                     .04
                    543                     17.15                     .04
                    544                     17.19                     .04
                    545                     17.23                     .04
                    546                     17.27                     .04
                    547                     17.31                     .04
                    548                     17.35                     .04
                    549                     17.39                     .04
                    550                     17.42                     .04
                    551                     17.46                     .04
                    552                     17.5                      .04
                    553                     17.54                     .04
                    554                     17.58                     .04
                    555                     17.62                     .04
                    556                     17.66                     .04
                    557                     17.7                      .04
                    558                     17.74                     .04
                    559                     17.78                     .04
                    560                     17.82                     .04
                    561                     17.86                     .04
                    562                     17.9                      .04
                    563                     17.93                     .04
                    564                     17.97                     .04
                    565                     18.01                     .04
                    566                     18.05                     .04
                    567                     18.09                     .04
                    568                     18.13                     .04
                    569                     18.17                     .04
                    570                     18.21                     .04
                    571                     18.24                     .04
                    572                     18.28                     .04
                    573                     18.32                     .04
                    574                     18.36                     .04
                    575                     18.4                      .04
                    576                     18.44                     .04
                    577                     18.48                     .04
                    578                     18.52                     .04
                    579                     18.56                     .04
                    580                     18.6                      .04
                    581                     18.64                     .04
                    582                     18.68                     .04
                    583                     18.72                     .04
                    584                     18.76                     .04
                    585                     18.8                      .04
                    586                     18.84                     .04
                    587                     18.88                     .04
                    588                     18.92                     .04
                    589                     18.96                     .04
                    590                     19                        .04
                    591                     19.04                     .04
                    592                     19.08                     .04
                    593                     19.12                     .04
                    594                     19.16                     .04
                    595                     19.2                      .04
                    596                     19.24                     .04
                    597                     19.28                     .04
                    598                     19.32                     .04
                    599                     19.36                     .04
                    600                     19.4                      .04
                    601                     19.44                     .04
                    602                     19.48                     .04
                    603                     19.52                     .04
                    604                     19.56                     .04
                    605                     19.6                      .04
                    606                     19.64                     .04
                    607                     19.68                     .04
                    608                     19.72                     .04
                    609                     19.76                     .04
                    610                     19.8                      .04
                    611                     19.85                     .04
                    612                     19.89                     .04
                    613                     19.93                     .04
                    614                     19.97                     .04
