-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 8:57:00 AM     2/24/2014 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 634
  Max.    Elevation: 6059
  Mean.   Elevation: 3324.16127982097
  Std.    Deviation: 952.278917248019

                    Elevation          % Area Below Elevation         % Area Watershed

                    1170                     1.79                      .01
                    1171                     1.79                      .01
                    1172                     1.8                       .01
                    1173                     1.81                      .01
                    1174                     1.81                      .01
                    1175                     1.82                      .01
                    1176                     1.83                      .01
                    1177                     1.84                      .01
                    1178                     1.84                      .01
                    1179                     1.85                      .01
                    1180                     1.86                      .01
                    1181                     1.86                      .01
                    1182                     1.87                      .01
                    1183                     1.88                      .01
                    1184                     1.88                      .01
                    1185                     1.89                      .01
                    1186                     1.9                       .01
                    1187                     1.9                       .01
                    1188                     1.91                      .01
                    1189                     1.92                      .01
                    1190                     1.92                      .01
                    1191                     1.93                      .01
                    1192                     1.94                      .01
                    1193                     1.94                      .01
                    1194                     1.95                      .01
                    1195                     1.96                      .01
                    1196                     1.97                      .01
                    1197                     1.97                      .01
                    1198                     1.98                      .01
                    1199                     1.99                      .01
                    1200                     1.99                      .01
                    1201                     2                         .01
                    1202                     2.01                      .01
                    1203                     2.01                      .01
                    1204                     2.02                      .01
                    1205                     2.03                      .01
                    1206                     2.04                      .01
                    1207                     2.04                      .01
                    1208                     2.05                      .01
                    1209                     2.06                      .01
                    1210                     2.06                      .01
                    1211                     2.07                      .01
                    1212                     2.08                      .01
                    1213                     2.09                      .01
                    1214                     2.09                      .01
                    1215                     2.1                       .01
                    1216                     2.11                      .01
                    1217                     2.11                      .01
                    1218                     2.12                      .01
                    1219                     2.13                      .01
                    1220                     2.14                      .01
                    1221                     2.14                      .01
                    1222                     2.15                      .01
                    1223                     2.16                      .01
                    1224                     2.16                      .01
                    1225                     2.17                      .01
                    1226                     2.18                      .01
                    1227                     2.18                      .01
                    1228                     2.19                      .01
                    1229                     2.2                       .01
                    1230                     2.21                      .01
                    1231                     2.21                      .01
                    1232                     2.22                      .01
                    1233                     2.23                      .01
                    1234                     2.23                      .01
                    1235                     2.24                      .01
                    1236                     2.25                      .01
                    1237                     2.25                      .01
                    1238                     2.26                      .01
                    1239                     2.27                      .01
                    1240                     2.27                      .01
                    1241                     2.28                      .01
                    1242                     2.29                      .01
                    1243                     2.29                      .01
                    1244                     2.3                       .01
                    1245                     2.31                      .01
                    1246                     2.32                      .01
                    1247                     2.32                      .01
                    1248                     2.33                      .01
                    1249                     2.34                      .01
                    1250                     2.35                      .01
                    1251                     2.35                      .01
                    1252                     2.36                      .01
